name	counter
Geographical names, geological or geographical information	1
Land use and planning, property, cadastral information	1
Mapping and spatial data	1
Imagery	8
cadastral parcels	4
Agriculture and fisheries	4
publicOrderSafety	1
Business & Economy	1
Population & Society	2
IMAGERY_BASE_MAPS_EARTH_COVER	2
Disaster Risk Management	1
Geographic information systems, maps, spatial data	2
geographical and administrative regions	1
geospatial data	4
LAND USE	2
geographicalnames	2
Geographical names and geographical systems	1
Geographical and administrative units	3
Waste management	2
Cultural heritage	2
Unknown (not extracted, but likely including 'Government', 'Infrastructure', 'Environment', 'Transport', 'Land', 'Population', etc. per typical city data catalog)	1
landUse	8
geographic-information	7
Regional planning	3
Social protection	2
Not specified (requires further metadata inspection)	1
Geographical names, geographical grids and classification systems	1
Production and facilities	1
GEMET - Land use	1
EU DCAT-AP - Environment	1
Land cover and use	2
Geographical names, geographical grids and geographical identifiers	1
Mapping: Vector and aerial imagery	1
geodata, geospatial	1
Dwellings and buildings	1
Technological	1
Agriculture, Forestry and Fisheries	1
Transport (dcatap:transport)	1
Government and public sector (dcatap:government-ps)	1
Sociodemographics	2
Transportation Networks	1
geographical_data	2
geographical_distribution	1
geographical_grids	1
science technology	1
income	2
geographic systems	1
administrative	6
Government and public services	1
Recreation and culture	1
built_environment	1
cadastral	4
Planning and construction	1
geographical data	7
GEODATA	16
Public order, justice and fundamental rights	1
Environment, ocean, marine	1
Geographical, land, elevation	1
geographical_land_use	1
environmental_monitoring	1
Geographical names, area management/restriction/regulation zones and reporting units	2
INFRASTRUCTURES	3
envn	1
citizens	1
PlanningAndCadastre	1
UtilityAndGovernmentServices	1
PopulationAndSociety	1
Administrative	2
economic affairs	1
urban development and land use	1
GOVE_FINANCE	1
GOVE_PUBLIC_SERVICE	1
Base maps, orthoimagery	1
Transport network	2
Government and administrative units	1
climatologicalMeteorologicalAtmospheric	1
Public order, safety and justice	1
GEOSPATIAL_DATA	5
Waste Management	1
geographical names and geographical information systems (GIS)	1
geographical-graphical-data	1
government-public-services	1
Public order, justice and legal systems	1
geographical, geological, environmental information	1
GEOGRAPHY	5
opentransport	1
Planning and cadastral	2
GEOSCIENTIFICINFORMATION	2
STRUCTURES	2
UTILITIESCOMMUNICATION	1
No theme assigned	1
PUBLIC_ORDER_SAFETY_AND_JUSTICE	1
Not listed	1
GEOGRAPHICAL_INFORMATION_SYSTEMS	1
Utilities and communication services	2
Hydrology	1
Facilities	1
Geographical names, geographical grid systems and coverages	1
Not specified in provided information	1
REGIONAL AND LOCAL AUTHORITIES	1
[List of applicable EU data themes]	1
transportation_networks	1
geographic information systems and geomatics	1
Geographical information systems, land use, administrative units, population, environment	1
health and safety	2
regional planning and development	1
Not available in page content	1
Structure and mapping of properties	1
geographical_system	2
administration	9
Recreation and tourism	1
Geographical information	8
land	17
GEOLOGY	1
Cadastral parcelling	1
WATER	1
BIODIVERSITY	2
GEOGRAPHICAL INFORMATION AND MAPS	1
Utility and Government Services	1
Geospatial, land and nature	1
EU data themes could not be extracted directly; assign if available or consult MDR Data Themes vocabulary for mapping	1
Geographical names and reference information	1
geographicalGridSystems	4
Parcels	1
Reference	1
Voting	1
Other Products	1
Regional and local authorities	1
CADASTRAL_PARCELS	1
GEODATA, GEOGRAPHICAL INFORMATION SYSTEMS, GEOGRAPHICAL INFORMATION, GEOGRAPHICAL DATA, MAPS, MAP DATA, PARCELS, CADASTRAL, LAND USE, INFRASTRUCTURE	1
Geographical names and systems	1
planning cadastre	5
operations	1
Administrative boundaries	3
Imagery/Base maps/Orthoimagery	1
structures	5
Not available from current source	1
Geographical names, geographical grids	1
Geographical systems	1
GE. Geospatial data, location	1
EN. Environment	1
Not specified in search result or metadata.	1
theme.regions	1
theme.geodata	1
{"data_theme": "trans", "description": "Transport Networks (DCAT-AP corresponding theme)"}	1
{"data_theme": "envi", "description": "Environment (DCAT-AP corresponding theme)"}	1
{"data_theme": "soci", "description": "Society (DCAT-AP corresponding theme)"}	1
{"data_theme": "ener", "description": "Energy (DCAT-AP corresponding theme)"}	1
Not available in provided source	1
Ecosystems	1
governmentAndPublicAdministration	1
mapData	1
Noise	1
Contamination	1
Utilities and Government Services	2
Metrology	1
Regions, cities, rural areas	1
earthObservation	1
IMAGERY.BASE.MAPS.EARTH.COVER	1
IMAGERY	3
TRAN (Transport)	1
ENV (Environment)	2
PLANNING	3
geographical names and place names	1
geographical grid systems	6
imagery and base maps earth cover	1
transportation networks	2
Planning/Cadastre	1
Agriculture, forestry, fisheries, and food	2
Facilities and Public services	1
geographical-systems	1
Geographical grids	8
Environment and conservation	1
regions-and-cities	1
Culture, Heritage and the Arts	1
safety	3
consumption and nutrition	1
public order, justice and safety	1
sociodemographic	1
REAL ESTATE	1
BOUND	1
TRAFF	1
Geographical names, Addresses	1
geographical_names,government_and_public_sector	1
ENV - Environment	1
SCI - Science	1
public_order, justice and security	1
Geographic locations	1
Utilities and Communication	1
social_protection_and_welfare	1
regional_and_urban_planning	1
Built environment	4
Unknown (not found in search results, additional mapping required)	1
utilities (energy, water, waste)	1
geographical names, administrative units, cadastral parcels, addresses, buildings and dwellings, transport networks, hydrography, protected sites	1
environmental monitoring facilities, production and industrial facilities, agriculture and aquaculture facilities, population distribution and demography	1
utility and governmental services, meteorological geographical features, oceanographic geographical features	1
geographical grid systems, land cover, orthoimagery, elevation	1
agricultural and aquaculture facilities	3
population distribution — demography	3
area management/restriction/regulation zones and reporting units	2
Geographical names, geographical grids and classification systems, units of measurement	1
Transportation and mobility	1
Geodata, maps, earth-observation data	1
Statistics, population, society	1
Geographical names, land cover, administrative units	2
Regional policy	2
Coronavirus Disease (COVID-19)	1
public order and safety	2
EMERGENCY_MANAGEMENT	1
ADMINISTRATIVE_UNITS	2
URBAN_AND_RURAL_REGIONS	1
Transportation networks	7
Buildings and facilities	2
Statistical units and grids	1
Coordinate reference systems	6
GEOGRAPHICAL-DATA	1
URBAN-LAND-USE	1
DEMOGRAPHY-POPULATION	1
AGRICULTURE-FISHERIES-FORESTRY-AND-FOOD	1
EDUCATION-CULTURE-AND-SPORTS	1
ECONOMY-AND-TRADE	1
LABOUR-AND-EMPLOYMENT	1
SCIENCE-TECHNOLOGY	1
SOCIAL-PROTECTION-HEALTH-MIGRATION	1
GOVERNMENT-PUBLIC-ORDER-AND-HEALTH	1
JUSTICE-LEGAL-SYSTEM-AND-PUBLIC-SAFETY	1
Cadastral Parcels	3
Protected Sites	6
Socio-demographic	1
Social services	1
INSPIRE themes: Government and public sector	1
EU data theme: Government and public sector (DCAT-AP)	1
Land Use Planning	1
STATISTICAL	2
EARTH_SCIENCE	1
REGION	2
SOC	2
international issues	3
AGRI. Agriculture, forestry, fisheries	1
Justice, freedom and security (JUST)	1
facilities	1
publicOrder	1
gov:environment	1
gov:science	1
gov:agriculture	1
gov:geospatial	1
Geographical names and address systems	1
geographic data	2
Geographical names, geographical grid systems and geographical identifiers	1
Natural hazards	1
GEODATA (Mapping, GIS, Geography: includes land use, cadastral, administrative units, transport, geodetic, elevation, imagery base maps, location, environmental)	1
energyResources	2
Emergency management systems	1
Natural disasters	1
Transport and network	1
Not specified in provided text	1
immigration	1
No specific theme extracted from URL	1
Biogeographical regions	1
Business & Employment	1
Economics & Finance	1
Entertainment	1
Events	1
Government, politics and public administration	1
PlanningCadastre	2
UtilitiesCommunication	1
All themes covered in DCAT-AP	1
EU Open Data Portal themes	1
Banking and financial statistics	1
Economic and financial affairs	1
AgriFood	1
RegionsCities	1
Gender	2
ECON (Economic statistics)	1
Transportation (Transports)	1
Government and public sector (Governance)	1
Environment (Environment)	1
Society (Société)	1
Migration data sources	1
Migration statistics	1
International migration	1
Global migration trends	1
evaluation	1
Core vocabularies (for knowledge base construction and integration)	1
Open data	1
industry and business	1
multidisciplinary	1
Metadata Management	1
Data Discovery	1
maritime_boundaries	1
Education & Training	1
publications	3
Landbrug, fiskeri, skovbrug og fødevarer	1
Økonomi og finanser	1
Uddannelse, kultur og sport	1
Energi	1
Miljø	1
Regeringen og den offentlige sektor	1
Sundhed	1
Internationale spørgsmål	1
Retssystem og offentlig sikkerhed	1
Regioner og byer	1
Befolkning og samfund	1
Videnskab og teknologi	1
language	1
meteorological-geographical-features	2
Geographic information systems, geology	2
GEOGRAPHIC INFORMATION SYSTEMS (INSPIRE)	1
INSPIRE_theme_uri:http://inspire.ec.europa.eu/theme/ad	1
INSPIRE_theme_uri:http://inspire.ec.europa.eu/theme/bu	1
INSPIRE_theme_uri:http://inspire.ec.europa.eu/theme/cp	1
LAND_MANAGEMENT	1
Natural Resources	2
Market & Services	1
Economy & Society	1
Agriculture & Fishing	1
SCI-TECH	1
Technology, Research and Innovation	1
Sosial	1
Pariwisata	1
Ekonomi	1
Budaya	1
Pendidikan	1
Infrastruktur	1
Kesehatan	1
Lingkungan Hidup	1
Pemerintah	1
Environmental statistics	1
Education statistics	1
FIN	1
construction	1
wages	1
foreign trade	1
living	1
consumption	1
poverty	1
inflation	1
price	1
election	1
national accounts	1
information society	1
Government data	2
National statistics	1
Land use and spatial planning	1
Demografía y Estadísticas Sociales	1
Economía y Finanzas	1
Ambiente	1
Agricultura, Pesca, Silvicultura y Alimentación	1
TICs	1
Educación, Cultura y Deporte	1
Regiones y Ciudades	1
Justicia, Seguridad Legal y Protección Pública	1
Energía	1
Ciencia y Tecnología	1
economyAndFinance	2
agricultureFisheriesForestryAndFood	1
Macroeconomics	1
Labour and social protection	1
Commerce and industry	1
Trade and balance of payments	1
households	1
fishing	1
REGIONAL_AND_LOCAL_AUTHORITY	1
Justice, safety and order	1
Drugs	1
Economic indicators	1
gender equality	1
violence against women	1
women, peace and security	1
SDGs	1
mining	2
mobility and transport	1
Economic and finance	2
REGIONAL AND LOCAL GOVERNMENT	1
URBAN DEVELOPMENT	1
Demographic	2
public order, safety, justice	1
Environmental monitoring Facilities	1
Land use & Planning	1
imageryBaseMapsEarthCover	3
Education and Culture	3
Geoscientific information	3
Research Data	1
jobs	1
Climate and Weather	1
Spatial data	2
economic activities	1
social statistics	1
SCIENCE	8
Science & research	1
Information society	1
Scientific Data	1
Education. Culture. Sport	1
Culture, Science and Technology	1
hydrogeology	1
geophysics	1
geographical_government_units	1
populated_places	1
utilities_communication	1
materials	1
Science, Technology and Research	1
Knowledge	1
Metadata management	1
Data discovery	1
Data governance	1
AGRICULTURE_AND_FISHERIES	1
SOIL	1
geoscientificInformation	2
Population and migration	1
Buildings and settlements	2
Governance and public administration	1
places	1
drought monitoring	1
flood and heavy rain	1
Statistical Indicators	1
Labour market, lifelong learning and working conditions	1
urban-development	1
Mapping, geospatial data visualization, spatial data infrastructure	1
geospatial, earth observation, environmental	1
Not specified in provided resources	1
Registers	1
Others	1
UNKNOWN	3
GIS, Geospatial	1
GOVERNANCE, PUBLIC SECTOR AND PUBLIC FINANCES	1
GEOGRAPHICAL INFORMATION SYSTEMS (GIS)	3
OCEANOGRAPHY	1
Mobility, transport and tourism	1
MOBILITY	2
Urban planning and land use	2
Disaster risk management	3
agricultureFisheryForestry	1
governmentPublicSector	2
educationCultureSport	1
geographyGeologyMeteorology	1
Buildings and Places	1
Geographical systems and services	1
Geographic information systems, mapping, earth observation (ISO 19115:2003 'imageryBaseMapsEarthCover', 'location')	1
not specified	2
Geographic information (regional)	1
Maritime	2
Emergency management facilities and services	1
Open Data	1
meteorological/geographical	1
GOVERNANCE	1
Buildings and structures	2
Land use and land cover	1
http://publications.europa.eu/resource/authority/data-theme/TECH	3
geographic information	5
GEOPORTALS	1
GEODATARASTER	1
GEOMODELS	1
Inspire themes, Geospatial data, Map tiles, Base maps	1
Disaster response and management	1
Public health	2
core-statistics	1
government-services	1
Regional and cities statistics	1
religion	1
municipality	1
welfare_sport	1
urban_planning_geography	1
culture_tourism	1
Demographic and social	1
Macroeconomic	1
Sectoral	1
Indicators	2
local_government	1
public_administration	1
municipal_data	1
Justice, safety and emergency services	2
Police, justice and safety	1
Population and population statistics	1
Economics and Finance	1
ENVI: Environment	1
HEAL: Health	1
JUST: Justice, legal system and public safety	1
TECH: Science and technology	2
TRAN: Transport	2
ENER: Energy	1
REGI: Regions and cities	1
AGRI: Agriculture, fisheries, forestry and food	2
Product Data	1
Marketplaces	1
science-and-technology	2
Education, Culture, Research	1
Engineering	1
Mathematics	1
Health and Medicine	1
Arts	1
researchArticles	1
academicPublications	1
educationalResources	1
knowledge	1
academic	1
Science, technology, innovation	2
environment, earth observation, ocean	1
geospatial, geographical data	1
AGRICULTURE, FORESTRY, FISHING	1
Education training and skills	1
Social conditions and wellbeing	1
GOVERNMENT_PUBLIC_AND_FINANCE	1
land property and zoning	1
Cultural data	1
Settlements	2
registerOfGeographicNames	1
regionalStatistics	1
productionAndIndustrialFacilities	2
agriculturalAndAquacultureFacilities	1
populationDistributionAndDemography	1
mineralResources	1
naturalRiskZones	2
atmosphericConditions	1
oceanographicGeographicalFeatures	2
seaRegions	2
bioGeographicalRegions	1
habitatsAndBiotopes	1
speciesDistribution	1
humanHealthAndSafety	1
utilityAndGovernmentalServices	1
orthoImagery	1
coordinateReferenceSystems	1
meteorologicalGeographicalFeatures	2
areaManagementRestrictionOrRegulationZonesAndReportingUnits	1
scientific	1
Geographical and land information	1
geo	7
Land property and location	1
Geographical and earth sciences	1
Not provided	4
MAPPING	1
Geodetic Networks	1
Geographic information, geology	1
Maps	2
geographical, geospatial	1
GEOMATICS	1
Ocean	5
Not specified in URL data	1
INLAND_WATERS	2
space	1
aeronautics	1
SDG	1
Labor	1
Science and Innovation	1
Public Administration	2
geographical_names, earth_observation, transport_networks	1
Science, Research, and Technology	1
meteorological-geographical	1
CLIMATOLOGY_METEOROLOGY_ATMOSPHERE	1
Meteorological and hydrological data	1
Justice and Security	1
Administrative and political units	2
Government_operations	1
Meteorological / climatological data	1
Geographical names, geographical grids and geographical tag systems	1
Buildings and Heritage	1
GENERAL AND REGIONAL STATISTICS	1
geographical and administrative units	1
gis	1
cadaster	1
education, training, youth, sport	1
research, science and innovation	1
To be specified according to EU data theme vocabulary (https://op.europa.eu/en/web/eu-vocabularies/at-dataset/-/resource/dataset/data-theme)	1
URBAN	2
REGN	1
Scientific Research	1
Urban development and housing	1
Water	6
Place names	1
Marine regions	1
Emergency management facilities	1
ocean	4
environment.agriculture	1
HEA	1
Genomics	1
Transcriptomics	1
Proteomics	1
Metabolomics	1
Multiomics	1
http://publications.europa.eu/resource/authority/data-theme	1
Classification systems	1
Vocabularies	1
Schemas	1
Agriculture and aquaculture	2
Use restrictions information	1
Crime, justice, and legal system	1
Culture, recreation & sport	1
Maritime and fisheries	1
researchAndExperimentalDevelopment	1
All (Open Data)	1
government public sector	1
Arts and Culture	1
Data and metadata	1
ENV_EDU_CULT	1
SCI_TECH	1
TRANSP_TELECOM	1
ENV:environment	2
Peace, justice and strong institutions	1
socioeconomic	1
people	1
Geography and mapping	1
Planning & cadastral	1
IT / technology	1
Software engineering	1
Big data	1
Agriculture and forestry	1
Research and scientific	1
GEOSCIENCES, GEOGRAPHIC INFORMATION	1
ecosystems	1
Government and public sector (e.g., legislation, public order, justice, public spending, elections)	1
Agriculture, fisheries, forestry, food	1
region	1
Not available from provided URL	1
Social protection, justice and safety	1
Telecommunications	3
crime, justice and the law	1
Unknown (requires manual mapping/analysis of exposed services)	1
geographical_information_systems	1
geospatial_data	1
Not available from the homepage or direct inspection	1
Culture, arts and heritage	1
Economie	1
Transports	1
Administration publique	1
science & technology	1
education, culture & sport	1
Geographical data and services (Geo)	1
Core reference data	1
Regions and municipalities	1
GOVERNMENT & PUBLIC SECTOR	1
TECHNOLOGY & SECTORIAL INNOVATION	1
BENCANA (DISASTER)	1
Not specified in provided text or URL	1
regions/cities	1
biogeographical regions	1
species distribution	2
habitats	1
Population & society	1
public_sector	1
Not listed in EU DCAT-AP vocabularies in results	1
Not directly extractable from URL	1
Statistical Data	1
Population, Housing and Living Conditions	1
Social Protection and Welfare	2
Labour Market	1
Health and Safety	1
Economic Activity, Trade and Finance	1
GOUVERNEMENT ET SECTEUR PUBLIC	1
SOCIÉTÉ	1
Geographic Information Systems and Services	1
Not specified; requires manual mapping from services	1
patents	1
intellectual_property	1
Administración y Finanzas	1
Conectividad	1
Covid-19	1
Cultura	1
Atención Ciudadana	1
Caribbean Netherlands	1
Construction and housing	1
Enterprises	1
Financial and business services	1
cadastral data	1
topographic data	1
Map imagery	1
Freshwater	1
Climate and meteorological data	1
Geo	9
Map	1
earthObservationAndEnvironment	1
publicOrderSafetyAndJustice	1
Regional statistics and indicators	1
Marine environment	1
http://data.europa.eu/uxp/taxonomy/data-theme/environment	1
http://data.europa.eu/uxp/taxonomy/data-theme/science	1
Utilities and Government services	2
Inland waters	3
Geographical and meteorological information	1
geographical.scientificInformation	1
inlandWaters	1
trade, business and company	1
Government： Structure｛Government｝	1
Government： Public finance｛Government｝	1
Government： Statistical data (may vary by actual datasets)	1
not_specified	1
International humanitarian aid	1
Development	2
Utilities and Governmental Services	1
Geographical names and place names	1
Geographical names, geographical grids and coverages, services	1
CLIMATE_AND_ATMOSPHERE	1
Disaster Management	1
Physical geographical features	1
Not specified by EU DCAT-AP theme in source	1
Coastal and Marine	1
Statistical data, Official statistics	1
REGIONAL_STATISTICS	1
Other themes as per specific datasets (not determinable from portal home page)	1
Government and Society	1
Waste and Resources	1
Social and society	1
Humanitarian	1
Local finance	1
Deprivation	1
scienceTechnologyAndInnovation	1
Urban development	1
Human settlements	1
climatology-meteorology-atmosphere	1
INFRASTRUCTURES_AND_TRANSPORT	1
national_accounts	1
DEMOGRAPHICS	1
Production and Industrial Facilities	2
Population Distribution — Demography	1
Area Management/Restriction/Regulation Zones and Reporting Units	1
Statistical Units	1
Bio-geographical Regions	1
Habitats and Biotopes	1
Human Health and Safety	1
TRANSPORTATION AND MOBILITY	1
Environment (as per DCAT-AP, since this is a geospatial services catalog, environment is a plausible theme; actual theme may vary by specific datasets and datasets should be mapped individually)	1
Geographic data services	1
Research and statistics	1
Land registry	1
Buildings, housing and structures	1
landuse	1
TRANSPORT_NETWORK	1
ELEVATION	1
geographical names and geographical information	1
Soils	1
oceans and seas	1
geographic_information	1
Not available from source	1
Geographic information and spatial data	1
Geographic information and maps	1
Environment, Geo, Public Safety	1
Not specified (insufficient metadata)	1
Mapping, Imagery	1
spatial	1
regions and cities	9
Geographical grid systems, Geographical names, Administrative units, Addresses	1
Geographic.Physical and environmental features	1
Climate change	1
Region/Country specific	1
No theme provided	1
PLANNINGCADASTRE	2
{"EU_theme": "GEOC", "label": "Geographical systems and services"}	1
{"EU_theme": "GOVE", "label": "Government and public sector"}	1
{"EU_theme": "PROP", "label": "Property"}	1
Geographicalnames,geographicalinformation systems	1
Regionsandcities	1
Naturalrisk zones	1
Justice,legalsystemandsafety	1
Regional policy and planning	1
Mapping base data	1
Utilities and communication	2
Fisheries and aquaculture	1
GOVE_1	1
GOVE_2	1
GOVE_3	1
Mapping and Earth Observation	1
location.place.geographic	1
address	2
Geographical and geospatial information	1
Official statistics	1
Unknown (needs classification by exact service layers)	1
https://publications.europa.eu/resource/authority/data-theme/ENVI	1
Geographical, land use, environmental data	1
GovernmentAndPublicSector	1
GeographicalInformationSystems	1
Geographical systems, military, and location	1
transport network	1
oceanography	1
Government, public sector	1
REGIONS&CITIES	1
Social issues	1
Economic development	1
Territorial development	1
Geographical, Geospatial, Statistical Information	1
Regional and Local Information	1
Landuse	1
No specific EU data theme listed on the catalog homepage. Default: "Not specified"	1
INSPIRE themes, including multiple geospatial data layers	1
Geographical names, geographical units, addresses	1
geography, maps, earth imagery, cadastral, statistics, environment	1
energies	1
LAND USE, AREA MANAGEMENT, RESTRICTIONS/REGULATIONS ZONES AND REPORTING UNITS	1
ENVI,TRAN,AGRI,EDUC,ECON,ENER,HEAL,JUST,REGI,SOCI,INTR,URBA,ENV,AGRI,ENER,HEAL,JUST,REGI,SOCI,INTR,URBA,ENV,TECH,TRAN,AGRI,EDUC,ECON,ENER,HEAL,JUST,REGI,SOCI,INTR,URBA,GOVE,TECH,TRAN,AGRI,EDUC,ECON,ENER,HEAL,JUST,REGI,SOCI,INTR,URBA,ENV,TECH	1
Geospatial Information	1
Geographic and spatial data	1
https://publications.europa.eu/resource/authority/data-theme/GOVE	1
https://publications.europa.eu/resource/authority/data-theme/TECH	1
Regional Data	1
geographical, geological information	1
none (assume may hold various, not specified)	1
GEOGRAPHIC	2
cadastral-parcels	2
administrative-units	3
STATISTICAL_DATA	1
GEOGRAPHIC_INFORMATION	1
Environment, Oceans and Seas	1
Climate, Atmosphere, Air Transport	1
http://publications.europa.eu/resource/authority/data-theme/ENER,http://publications.europa.eu/resource/authority/data-theme/ENVI	1
Geographical names, geographical information systems (GIS)	2
Location, Oceans	1
Regional Planning	1
Sea, Ocean and Coast	1
Base and elevation	1
Telecommunication	1
Facilities and Government Services	1
Species Distribution	1
Environment, Biodiversity, Nature	1
http://inspire.ec.europa.eu/metadata-codelist/Theme/environment	1
buildings and settlements	1
environmental_indicators	1
population_statistics	1
sustainable_development	1
geographicalNames,addresses	2
populationDistribution,demography	1
production,industrialFacilities	1
statisticalUnits	1
utility,governmentalServices	1
ADMINISTRATIVEUNITS	1
METADATA	1
Geodata, maps	1
Geographical and geological information	1
Geographical information and services	1
teaching	1
open access	1
research data management	1
Education, Culture & Sport	1
Science & Research	1
Data Management	1
Science, technology and society	1
educationAndLearning	1
Culture, media, sport	1
SOCIOECONOMIC	1
geographic-information-services	1
Biota	2
art_and_culture	1
CLIM (Climate)	1
MAR (Marine)	1
FRES (Freshwater and inland water resources)	1
Societal well-being and justice	1
Social sciences	1
Arts and humanities	1
Science, technology, and innovation	1
Publications and statistical data	1
Life sciences	1
Natural sciences	1
Engineering sciences	1
Not extractable from raw text	1
Gov	1
not specified (possibly HEALTH, RESEARCH, or similar; needs verification from catalog)	1
No data	1
Education, training, learning outcomes and qualifications	1
official statistics	1
socioeconomic data	1
income, consumption and poverty	1
Research, Innovation, Science	1
Remote Sensing	1
Life, health and well-being	1
Geographic information systems, maps, orthoimagery	1
N/A	1
geographical names, geographical grids and geographical networks	1
Geographical information systems, geospatial information, mapping	1
reference data	1
geography, geology	1
Municipal facilities	1
social_economy	1
*	1
Procurements	1
TRANSPORTATION_and_MOBILITY	1
LOCATIONS_and_GEOGRAPHY	1
ECONOMIC_DEVELOPMENT	1
EDUCATION_and_CULTURE	1
PUBLIC_FINANCES	1
Structure and networks	1
Traffic and works information	1
Timetables	1
Citoyenneté Institution	2
Mobilité	2
Santé Social	2
Culture Tourisme	2
Environnement	3
Urbanisme Logement	2
Éducation	2
Urban planning and buildings	1
Regional planning and territorial development	1
URBAN AND REGIONAL DEVELOPMENT	1
Environment - Climate change	1
International aid	1
GEOGRAPHICAL INFORMATION	5
companies	1
Justice, sécurité et crimes	1
Économie et finances	1
Not specify in available search results	1
transport, society	1
No data available from the website content	1
work.employment	1
work.social_protection	1
GoveRnance, public sector	1
Documentation	1
Geographical names, addresses, buildings, elevation	1
Utilities and essential services	1
artsAndCulture	1
budgetAndManagement	1
publicSafety	2
publicHealth	1
humanServices	1
publicWorks	1
Agriculture and Food	2
Culture and Recreation	2
Economy and Business	2
Environment and Natural Resources	2
Government and Finance	2
Housing, Communities and Social Support	2
Infrastructure and Transportation	2
Justice and Public Safety	2
TRAE	1
SOCP	1
Public Health	1
gov_debt_statistics	1
gov_finances	1
Business and companies	1
Regional structures	1
International development	1
Public order, justice and legislation	1
public order, justice and legal certainty	1
environment.json	1
gov.json	1
geodata.json	1
science_technology_innovation	1
geospatial services	1
Media	1
Art, culture and heritage	1
Geographical names, geographical grid systems, geographical identifiers, land cover, transport networks	1
Geographical names, address, cadastral parcels	1
GEODATA, GEOGRAPHICAL INFORMATION SYSTEMS, GEOGRAPHIC INFORMATION SYSTEMS	1
Geographic information system maps	1
Geographic information systems, geospatial data	1
Projects	1
Mapping services	2
EMPL: Employment and labour	1
Administrative and government	1
Justice and legal systems	1
municipal	1
law	1
EUROVOC:environment	1
EUROVOC:agriculture	1
EUROVOC:energy	1
EUROVOC:population	1
EUROVOC:health	1
EUROVOC:education	1
EUROVOC:transportation	1
EUROVOC:geography	1
EUROVOC:society	1
EUROVOC:economy	1
EDUCATION_CULTURE_SPORT	1
Temporary data themes	1
Public procurement	1
Not specified (needs manual review)	1
SCI:science	1
TRANSPORT:transport	1
Budget and public finances	1
Organization	1
work	1
citizen_service	1
Administrative and Governmental Units	1
Culture, Tourism and Sport	1
Territorial	1
Mobility and Safety	1
Public Works	1
Networks	1
Health and Social Services	1
Economic Activities	1
Cycling	1
Geographical and spatial data	1
PUBLIC ADMINISTRATION	1
INSPIRE, DCAT-AP or equivalent not specified; could not be inferred from available information. Actual themes not provided.	1
Not specified (no detailed metadata extracted from the provided URL)	1
Atmospheric, earth and marine sciences	1
geographical-names-and-information	1
land-use-and-planning	1
Sustainable development	1
Transport and communications	1
Justice and crime	1
Protected areas	1
OCEAN	2
Social protection and justice	1
Education, Culture, Sports	1
Sciences	1
(unspecified)	1
spatial-data-infrastructure	1
Community and Social	1
earthScience	1
Business & Commerce	1
Geographic Information System (GIS), Mapping	1
Not specified in the given context.	1
Geographical datasets	1
Mapping, Earth Observation and Geospatial	1
geographical-grid-systems	2
geographical-scientific-areas	1
justice-legal-system-and-public-safety	1
land-cover	1
[EU DCAT-AP] Data Theme: Environment	1
[EU DCAT-AP] Data Theme: Science & Technology	1
Geographic information - Geoinformation or geospatial data, maps, earth observation	1
Geographic Information Systems & Maps	1
Disaster risk	1
Base maps	1
Mapas	1
Servicios geográficos	1
Topografía	1
Riesgo de desastres	1
Public Order, justice and fundamental rights	1
INTERNAL	1
Address	2
land use and planning	1
SCIENCE-TECH	1
Geographical Names and Geographical Information System	1
vegetation	1
http://publications.europa.eu/resource/authority/data-theme/INTR	1
transportationNetworks	1
Region and Cities	1
property	1
public health	1
Urban Development	1
GEOP	1
Geographical and territorial information	1
Geographical (maps and geospatial)	1
Geographical Names, Addresses	1
Environment, Land, Land use	1
Geographical information systems and services	3
Meteorology/climatology	1
geographical names, geodata, geographical grids and systems	1
Culture and art	1
geografiske områder	1
miljø	1
sea	1
forest	1
fisheries, forestry and rural	1
Earth atmosphere monitoring	1
Atmosphere and meteorological geographical features	1
GEOGRAPHICAL INFORMATION SYSTEMS, GEOLOGY, ENVIRONMENT	1
Geographical grids systems	1
PUBLIC HEALTH	1
social protection and welfare	1
Culture, arts and religion	1
ADMINISTRATIVE	1
publicadministration	1
spatial_data_infrastructure	1
Transport, Education, Governance	1
Society, Statistical units, Administrative units	1
Geography, mapping, planning	1
Geographical Information System	1
Public services	1
EarthObservation	1
geospatial-data	1
public-safety	1
No explicit data theme provided in the given source. Note: Replace with actual EU DCAT-AP data theme if known (e.g., "Government and public sector", "Science and technology", etc.)	1
GEOSCIENTIFIC INFORMATION	4
not available (needs manual mapping: possibly 'Environment' or 'Science' pending actual dataset content)	1
GEODATA - GEOGRAPHICAL DATA	1
https://publications.europa.eu/en/publication-detail/-/publication/1e49d0e0-8f65-11e9-9f05-01aa75ed71a1/language-en/format-PDF?WT.mc_id=Searchresult&WT.ria_c=37085&WT.ria_f=3608&WT.ria_ev=search&WT.searchAgain=true#page=93&zoom=auto,78,100	1
GEOGRAPHICAL-INFORMATION	1
Geographic Services	1
http://publications.europa.eu/resource/dataset/data-theme/ener	1
(choose relevant EU data theme from DCAT-AP, e.g., 'environment', 'health', 'data published by public administrations')	1
Geographical imagery/base maps/earth cover	1
Geographical land cover	1
Geographical spatial features	1
Geographic information systems, geology, and science	1
OPERATION	1
geographical names and information systems	1
Geographical names and geology	1
Geographical names and regions	1
Geographic data and services	1
TI	1
TR	1
Nautical/geographical	1
infrastructures	3
geographical names and geographical information systems	2
structure, transport, environment, society	1
