name,fixed,counter
Not categorized (ISO 19115 topic category not specified in metadata),,1
No data,,1
010,,1
sociology,Society,1
global,,1
Genomics,,1
IMAGERY BASE MAPS EARTH COVER,Imagery / Base Maps / Earth Cover,2
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/geoscientificInformation,Geoscientific Information,1
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/imageryBaseMapsEarthCover,Imagery / Base Maps / Earth Cover,1
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/location,Location,1
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/planningCadastre,Planning / Cadastre,1
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/utilitiesCommunication,Utilities / Communication,1
intelligenceScience,Intelligence / Military,1
*,,1
Environment - Climatology,Environment,1
Utilities and Government Services (Energy),Utilities / Communication,1
Not specify in available search results,,1
"Health, medical services, human ecology",Health,1
geospatialInformation,,1
No data available from the website content,,1
Finance,,1
Housing,,1
Justice,,1
geographicalInformation,,1
Transportation Networks,Transportation,1
"society, economy",Economy,1
Utilities communication services,Utilities / Communication,2
"structure, location, planning, utilities, environment, cadastre",Environment,1
Planetology,,1
"Boundaries, Society, Environment",Environment,1
Not specified (needs manual review),,1
"location, mapping, boundaries",Boundaries,1
iso19115_theme: not specified; could not be inferred from available information.,,1
Not specified (no detailed metadata extracted from the provided URL),,1
"Environment, general",Environment,1
(unspecified),,1
SOCIOECONOMIC,Society,1
GOVERNMENT_LANDS,,1
Imagery/BaseMapsEarthCover,Imagery / Base Maps / Earth Cover,1
"economy, business and finance",Economy,1
Not specified in the given context.,,1
Planning & Cadastre,Planning / Cadastre,1
Imagery & BaseMaps,Imagery / Base Maps / Earth Cover,1
[ISO19115] Topic Category: Imagery/Base Maps/Earth Cover,Imagery / Base Maps / Earth Cover,1
[ISO19115] Topic Category: Environment,Environment,1
[ISO19115] Topic Category: Climatology/Meteorology/Atmosphere,Climatology / Meteorology / Atmosphere,1
Planning/Cadastre,Planning / Cadastre,1
"Location, PlanningCadastre, ImageryBaseMapsEarthCover",Imagery / Base Maps / Earth Cover,1
DISASTER_MANAGEMENT,,1
stratigraphy,,1
administration,,2
http://www.isotc211.org/2005/gmd/#topicCategory_biota,Biota,1
http://www.isotc211.org/2005/gmd/#topicCategory_elevation,Elevation,1
http://www.isotc211.org/2005/gmd/#topicCategory_boundaries,Boundaries,1
http://www.isotc211.org/2005/gmd/#topicCategory_location,Location,1
farmling,,1
http://www.isotc211.org/2005/iso19115/-3/mri/1.0/code/geographicName/Oceans,Oceans,1
http://www.isotc211.org/2005/iso19115/-3/mri/1.0/code/geographicName/Coastlines,,1
http://www.isotc211.org/2005/iso19115/-3/mri/1.0/code/geographicName/Climate,,1
http://www.isotc211.org/2005/iso19115/-3/mri/1.0/code/geographicName/Environment,Environment,1
"location, boundaries, cadastral",Boundaries,1
Intelligence / Military,Intelligence / Military,1
Utilidad y servicios gubernamentales,,1
administrativeunits,,1
Geographical regions and regions admin units,,1
Land covers,,1
"Culture, heritage and monuments",,1
transportation networks,Transportation,1
Oceans and Seas,Oceans,1
Environment and Conservation,Environment,1
"Health, safety, emergencies",Health,1
http://www.isotc211.org/2005/gmd#geoscientificInformation,Geoscientific Information,1
http://www.isotc211.org/2005/gmd#boundaries,Boundaries,2
http://www.isotc211.org/2005/gmd#planningCadastre,Planning / Cadastre,1
"boundaries, location, society, structure, transport",Boundaries,1
Research and innovation,,1
"No explicit geo topic category provided in the given source. Note: Replace with actual ISO19115 topic category if known (e.g., ""location"", ""boundaries"", etc.)",Boundaries,1
Geographic location,Location,1
other (ISO19115:2003) (needs manual mapping: possibly 'GeoscientificInformation' or 'non-geospatial data' pending actual dataset content),Geoscientific Information,1
"location, geoscientificInformation",Geoscientific Information,1
biotope,,1
protection,,1
GEO-SCIENTIFIC_INFORMATION,,1
urban,,1
"(choose relevant ISO19115:2003 theme, e.g., 'biota', 'boundaries', 'climatologyMeteorologyAtmosphere', 'economy', 'elevation', 'environment', 'geoscientificInformation', 'health', 'imageryBaseMapsEarthCover', 'inlandWaters', 'intelligenceMilitary', 'location', 'oceans', 'planningCadastre', 'society', 'structure', 'transportation', 'utilitiesCommunication')",Environment,1
Intelligence_Military,Intelligence / Military,1
INTELLIGENCE,Intelligence / Military,1
"Boundaries, Administrative",Boundaries,1
"Location, Address, City, Streets",Location,1
utilityCommunicationServices,,1
"location, boundaries, society, transportation",Boundaries,1
"planningCadastre, structure, transportation",Planning / Cadastre,1
tools,,1
IMAGERYBASEMAPSEARTHCOVER,Imagery / Base Maps / Earth Cover,1
map,,1
Location and mapping,Location,1
Intellectual property and copyright,,1
Legal and administrative,,1
Placeholder for ISO19115 Topic Category,,1
Not available/Undefined,,1
OCEANOGRAPHY,,1
climatology meteorologyAtmosphere,Climatology / Meteorology / Atmosphere,1
Not available in provided text,,1
Location Not Applicable,Location,1
"Location, Location, Location, No value found/Not applicable",Location,1
neuroscience,,1
imaging,,1
data processing,,1
Scientific Information,,1
"Imagery, base maps, coverages",Imagery / Base Maps / Earth Cover,1
"Intelligence, military",Intelligence / Military,1
"Planning, cadastre",Planning / Cadastre,1
category,,1
"boundaries,elevation,imageryBaseMapsEarthCover,inlandWaters,planningCadastre,society,structure,transportation,utilitiesCommunication",Boundaries,1
disaster,,1
Government units,,1
imagerysBaseMapsEarthCover,Imagery / Base Maps / Earth Cover,1
"ISO 19115:2003 - boundaries, ISO 19115:2003 - economy, ISO 19115:2003 - environment, ISO 19115:2003 - transportation",Environment,1
intellectual property,,1
scientific data,,1
"transportation, infrastructure",Structure,1
"Location (for geodata, if available)",Location,1
"Intellectual Property, Copyright, and Legal Issues",,1
Not specified in the provided context,,1
Research & development,,1
To be determined from actual catalog content - select from ISO 19115 topics,,1
"Government information, administrative boundaries",Boundaries,1
http://www.isotc211.org/2005/gmd#MD_TopicCategoryCode_location,Location,1
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/006,,1
Government and Public Sector,,1
iso19115:boundaries,Boundaries,1
iso19115:location,Location,1
iso19115:structure,Structure,1
legal,,1
ISO19115: Not specifically mapped (general documentation),,1
LAND_USE,Imagery / Base Maps / Earth Cover,1
"boundaries, society, transportation",Boundaries,1
Not specified/N/A,,1
Theme to be determined by ISO19115:2003 Topic Category,,1
Energy,,1
http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#MD_TopicCategoryCode_016,,1
http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#MD_TopicCategoryCode_013,,1
boundariesAdministrative,Boundaries,1
"Not specified in provided text. ISO 19115 may include: environment, geoscientificInformation, location, planningCadastre, etc.]",Environment,1
contact_email_or_url_points_to_owner_or_catalog_operator_not_dataset_itself_user_not_provider_email_or_url_if_any_is_missing_leave_empty_or_null_or_not_applicable,,1
Not provided in provided text,,1
locations,Location,1
"location,planningCadastre",Location,1
http://www.isotc211.org/2005/gmd#topicCategory/biota,Biota,1
http://www.isotc211.org/2005/gmd#topicCategory/boundaries,Boundaries,1
"The primary ISO 19115 category for such a catalog would be 'geoscientificInformation', 'location', or 'biota' but this is inferred from site context and not explicitly declared.",Geoscientific Information,1
"Note: ISO19115_theme should be assigned based on explicit metadata or standard mapping, e.g.: 'geoscientificInformation', 'location', etc.",Geoscientific Information,1
CLIMATOLOGY METEOROLOGY ATMOSPHERE,Climatology / Meteorology / Atmosphere,1
"boundaries, administrativeUnits",Boundaries,1
"Not determinable from the URL alone. If assumed spatial: 'location' as per ISO19115:2003, but not confirmed.",Location,1
"environmental resources, protection and conservation",Environment,1
GEOGRAPHICAL_INFORMATION,,1
"boundaries, economy, environment, health, planningCadastre, society, utilitiesCommunication",Environment,1
iso19115_theme_codes_list_strings,,1
Transportation & Communication,Transportation,1
"geoscientificInformation, location",Geoscientific Information,1
"Not specified (could be 'imageryBaseMapsEarthCover' or similar, but not confirmed by provided input)",Imagery / Base Maps / Earth Cover,1
administrativeBoundaries,Boundaries,1
http://inspire.ec.europa.eu/metadata-codelist/TopicCategory/007,,1
Utilities_Communication,Utilities / Communication,1
IMAGERY/BASEMAPS/EARTH COVER,Imagery / Base Maps / Earth Cover,1
"location, boundaries, planning",Boundaries,1
Other/Unknown,,1
"Society, Economy and Planning",Economy,1
AGRICULTURE,Farming,1
Location/Geographical identifier,Location,1
earthAndOceanSciences,Oceans,1
Unknown (no specific geo category extracted),,1
farm,,1
"location, place names, addresses, transportation, boundaries",Boundaries,1
Not explicitly available from the URL. Please provide more details for mapping to ISO19115 topics.,,1
baseMapsEarthCover,Imagery / Base Maps / Earth Cover,1
http://earth.esa.int/geoportal/iso19115/2003/foss4g/themes/biota,Biota,1
http://earth.esa.int/geoportal/iso19115/2003/foss4g/themes/climatologyMeteorologyAtmosphere,Climatology / Meteorology / Atmosphere,1
http://earth.esa.int/geoportal/iso19115/2003/foss4g/themes/economy,Economy,1
http://earth.esa.int/geoportal/iso19115/2003/foss4g/themes/environment,Environment,1
http://earth.esa.int/geoportal/iso19115/2003/foss4g/themes/geoscientificInformation,Geoscientific Information,1
http://earth.esa.int/geoportal/iso19115/2003/foss4g/themes/health,Health,1
http://earth.esa.int/geoportal/iso19115/2003/foss4g/themes/inlandWaters,Inland Waters,1
http://earth.esa.int/geoportal/iso19115/2003/foss4g/themes/intelligenceMilitary,Intelligence / Military,1
http://earth.esa.int/geoportal/iso19115/2003/foss4g/themes/location,Location,1
http://earth.esa.int/geoportal/iso19115/2003/foss4g/themes/oceans,Oceans,1
http://earth.esa.int/geoportal/iso19115/2003/foss4g/themes/society,Society,1
http://earth.esa.int/geoportal/iso19115/2003/foss4g/themes/transportation,Transportation,1
http://earth.esa.int/geoportal/iso19115/2003/foss4g/themes/utilitiesCommunication,Utilities / Communication,1
